Type de véhicule ; Heure ; Limité à km/h;Nombre de véhicule qui sont passés :;La vitesse Moyenne des véhicules :;Nombre de véhicules inférieure ou égale à 30 km/h :;Nombre de véhicules inférieure à 10km/h :;Nombre de véhicules supérieur à 50 km/h :;Nombre de véhicules supérieur à 60 km/h :;Nombre de véhicules supérieur à 70 km/h :;Nombre de véhicules supérieur à 80 km/h :
Type de véhicule ; Heure ; Limité à km/h;Nombre de véhicule qui sont passés :;La vitesse Moyenne des véhicules :;Nombre de véhicules inférieure ou égale à 30 km/h :;Nombre de véhicules inférieure à 10km/h :;Nombre de véhicules supérieur à 50 km/h :;Nombre de véhicules supérieur à 60 km/h :;Nombre de véhicules supérieur à 70 km/h :;Nombre de véhicules supérieur à 80 km/h :
Type de véhicule ; Heure ; Limité à km/h;Nombre de véhicule qui sont passés :;La vitesse Moyenne des véhicules :;Nombre de véhicules inférieure ou égale à 30 km/h :;Nombre de véhicules inférieure à 10km/h :;Nombre de véhicules supérieur à 50 km/h :;Nombre de véhicules supérieur à 60 km/h :;Nombre de véhicules supérieur à 70 km/h :;Nombre de véhicules supérieur à 80 km/h :
Type de véhicule ; Heure ; Limité à km/h;Nombre de véhicule qui sont passés :;La vitesse Moyenne des véhicules :;Nombre de véhicules inférieure ou égale à 30 km/h :;Nombre de véhicules inférieure à 10km/h :;Nombre de véhicules supérieur à 50 km/h :;Nombre de véhicules supérieur à 60 km/h :;Nombre de véhicules supérieur à 70 km/h :;Nombre de véhicules supérieur à 80 km/h :
Type de véhicule ; Heure ; Limité à km/h;Nombre de véhicule qui sont passés :;La vitesse Moyenne des véhicules :;Nombre de véhicules inférieure ou égale à 30 km/h :;Nombre de véhicules inférieure à 10km/h :;Nombre de véhicules supérieur à 50 km/h :;Nombre de véhicules supérieur à 60 km/h :;Nombre de véhicules supérieur à 70 km/h :;Nombre de véhicules supérieur à 80 km/h :
Type de véhicule ; Heure ; Limité à km/h;Nombre de véhicule qui sont passés :;La vitesse Moyenne des véhicules :;Nombre de véhicules inférieure ou égale à 30 km/h :;Nombre de véhicules inférieure à 10km/h :;Nombre de véhicules supérieur à 50 km/h :;Nombre de véhicules supérieur à 60 km/h :;Nombre de véhicules supérieur à 70 km/h :;Nombre de véhicules supérieur à 80 km/h :
Type de véhicule ; Heure ; Limité à km/h;Nombre de véhicule qui sont passés :;La vitesse Moyenne des véhicules :;Nombre de véhicules inférieure ou égale à 30 km/h :;Nombre de véhicules inférieure à 10km/h :;Nombre de véhicules supérieur à 50 km/h :;Nombre de véhicules supérieur à 60 km/h :;Nombre de véhicules supérieur à 70 km/h :;Nombre de véhicules supérieur à 80 km/h :
camion;2021-03-01 09:00:00;30;0;0;0;0;0;0;;0
voiture;2021-03-01 09:00:00;30;12;47;6;4;2;1;;0
camion;2021-03-01 10:00:00;30;35;2;2;0;0;0;;0
voiture;2021-03-01 10:00:00;30;8;52;3;1;1;2;;0
camion;2021-03-01 11:00:00;30;0;0;0;0;0;0;;0
voiture;2021-03-01 11:00:00;30;2;24;0;2;0;0;;0
camion;2021-03-01 12:00:00;30;1;190;0;0;0;0;;1
voiture;2021-03-01 12:00:00;30;25;40;16;5;3;1;;0
voiture;2021-03-26 08:53:50;30;355;50;300;13;12;11;;9
voiture;2021-03-26 09:17:28;30;355;50;300;13;12;11;;9
voiture;2021-03-26 10:30:14;30;355;50;300;13;12;11;;9
voiture;2021-03-26 10:30:23;30;355;50;300;13;12;11;;9
voiture;2021-03-26 10:30:32;30;355;50;300;13;12;11;;9
voiture;2021-03-26 10:42:45;30;355;50;300;13;12;11;;9
voiture;2021-03-26 10:42:54;30;355;50;300;13;12;11;;9
voiture;2021-03-26 10:48:43;30;355;50;300;13;12;11;;9
voiture;2021-03-26 10:48:54;30;355;50;300;13;12;11;;9
voiture;2021-03-26 10:49:46;30;355;50;300;13;12;11;;9
voiture;2021-03-26 15:23:44;30;355;50;300;13;12;11;;9
;2021-03-26 15:23:44;30;;;;;;;;
voiture;2021-03-26 15:32:34;30;355;50;300;13;12;11;;9
voiture;2021-03-26 15:32:34;30;355;50;300;13;12;11;;9
voiture;2021-03-26 15:32:34;30;355;50;300;13;12;11;;9
voiture;2021-03-26 15:32:34;30;355;50;300;13;12;11;;9
voiture;2021-03-26 15:32:34;30;355;50;300;13;12;11;;9
voiture;2021-03-26 15:32:34;30;355;50;300;13;12;11;;9
voiture;2021-03-26 15:32:34;30;355;50;300;13;12;11;;9
voiture;2021-03-26 15:32:34;30;355;50;300;13;12;11;;9
voiture;2021-03-26 15:32:34;30;355;50;300;13;12;11;;9
voiture;2021-03-26 15:38:47;30;355;50;300;13;12;11;;9
;2021-03-26 15:38:50;30;;;;;;;;
;2021-03-26 15:38:56;30;;;;;;;;
;2021-03-26 15:39:00;30;;;;;;;;
;2021-03-26 15:39:02;30;;;;;;;;
voiture;2021-04-02 08:53:49;30;355;50;300;13;12;11;;9
